day,S,I,R
0,999999,1,0
1,999996,3,1
2,999993,5,2
3,999989,9,2
4,999982,16,2
5,999969,27,4
6,999954,41,5
7,999931,59,10
8,999910,72,18
9,999882,92,26
10,999845,118,37
11,999812,141,47
12,999763,179,58
13,999708,215,77
14,999656,243,101
15,999594,283,123
16,999518,329,153
17,999446,366,188
18,999365,413,222
19,999288,453,259
20,999210,486,304
21,999128,520,352
22,999032,563,405
23,998927,609,464
24,998825,644,531
25,998703,695,602
26,998581,753,666
27,998454,819,727
28,998325,859,816
29,998187,913,900
30,998049,973,978
31,997898,1022,1080
32,997739,1075,1186
33,997565,1134,1301
34,997410,1165,1425
35,997244,1218,1538
36,997087,1250,1663
37,996921,1305,1774
38,996742,1340,1918
39,996556,1406,2038
40,996381,1424,2195
41,996182,1471,2347
42,995978,1519,2503
43,995772,1578,2650
44,995573,1622,2805
45,995376,1670,2954
46,995136,1755,3109
47,994915,1811,3274
48,994679,1871,3450
49,994454,1920,3626
50,994216,1963,3821
51,993958,2033,4009
52,993705,2047,4248
53,993468,2079,4453
54,993180,2173,4647
55,992905,2222,4873
56,992635,2274,5091
57,992357,2342,5301
58,992074,2397,5529
59,991776,2434,5790
60,991499,2471,6030
61,991200,2535,6265
62,990886,2621,6493
63,990553,2696,6751
64,990202,2763,7035
65,989894,2793,7313
66,989560,2861,7579
67,989217,2923,7860
68,988869,2993,8138
69,988527,3070,8403
70,988176,3119,8705
71,987834,3140,9026
72,987471,3182,9347
73,987118,3187,9695
74,986748,3241,10011
75,986383,3274,10343
76,985999,3334,10667
77,985601,3368,11031
78,985219,3424,11357
79,984835,3468,11697
80,984444,3541,12015
81,984043,3597,12360
82,983637,3621,12742
83,983216,3678,13106
84,982811,3707,13482
85,982393,3748,13859
86,981981,3770,14249
87,981545,3816,14639
88,981115,3887,14998
89,980646,3943,15411
90,980214,4019,15767
91,979734,4071,16195
92,979261,4157,16582
93,978792,4190,17018
94,978333,4198,17469
95,977867,4231,17902
96,977364,4317,18319
97,976878,4382,18740
98,976409,4414,19177
99,975930,4481,19589
100,975427,4553,20020
101,974936,4630,20434
102,974423,4614,20963
103,973916,4671,21413
104,973397,4699,21904
105,972870,4747,22383
106,972332,4814,22854
107,971799,4861,23340
108,971246,4944,23810
109,970703,4984,24313
110,970135,5086,24779
111,969589,5126,25285
112,969003,5172,25825
113,968416,5236,26348
114,967850,5262,26888
115,967257,5328,27415
116,966658,5384,27958
117,966065,5443,28492
118,965470,5479,29051
119,964854,5523,29623
120,964230,5622,30148
121,963591,5733,30676
122,962963,5798,31239
123,962339,5879,31782
124,961743,5899,32358
125,961069,6019,32912
126,960440,5985,33575
127,959830,6000,34170
128,959191,6052,34757
129,958538,6136,35326
130,957853,6204,35943
131,957191,6237,36572
132,956507,6338,37155
133,955808,6389,37803
134,955144,6394,38462
135,954465,6481,39054
136,953772,6528,39700
137,953080,6551,40369
138,952398,6581,41021
139,951690,6643,41667
140,950996,6632,42372
141,950306,6615,43079
142,949627,6648,43725
143,948897,6734,44369
144,948154,6806,45040
145,947395,6917,45688
146,946612,6996,46392
147,945854,7031,47115
148,945085,7120,47795
149,944345,7171,48484
150,943597,7178,49225
151,942843,7257,49900
152,942074,7267,50659
153,941279,7357,51364
154,940487,7441,52072
155,939715,7486,52799
156,938901,7560,53539
157,938109,7578,54313
158,937298,7607,55095
159,936492,7694,55814
160,935660,7772,56568
161,934853,7781,57366
162,934035,7821,58144
163,933187,7929,58884
164,932330,8032,59638
165,931494,8050,60456
166,930635,8068,61297
167,929757,8171,62072
168,928851,8297,62852
169,928025,8318,63657
170,927124,8388,64488
171,926208,8441,65351
172,925326,8474,66200
173,924456,8498,67046
174,923556,8601,67843
175,922627,8689,68684
176,921718,8673,69609
177,920796,8774,70430
178,919918,8804,71278
179,919009,8849,72142
180,918100,8861,73039
181,917166,8891,73943
182,916234,8951,74815
183,915301,8965,75734
184,914376,8990,76634
185,913409,9064,77527
186,912432,9165,78403
187,911503,9175,79322
188,910501,9270,80229
189,909517,9285,81198
190,908505,9357,82138
191,907505,9461,83034
192,906552,9459,83989
193,905577,9514,84909
194,904591,9517,85892
195,903586,9538,86876
196,902571,9642,87787
197,901591,9691,88718
198,900599,9718,89683
199,899572,9764,90664
